k,parameter,rejection_rate,infinite_rate,finite_mean_statistic,finite_variance_statistic,family,side,parameter_name
80,0.33,0.162,0.0364,1.0498828326391372,0.019751457599822404,power_endpoint,H1,beta
90,0.33,0.1606,0.0364,1.045990707577428,0.017091327840689795,power_endpoint,H1,beta
100,0.33,0.153,0.0376,1.043256951724576,0.015151230299569603,power_endpoint,H1,beta
110,0.33,0.159,0.037,1.0403115154544749,0.013567694890593307,power_endpoint,H1,beta
120,0.33,0.1516,0.0372,1.0370163876100742,0.012499873580187294,power_endpoint,H1,beta
130,0.33,0.1512,0.0382,1.0333084307133835,0.011541107680120838,power_endpoint,H1,beta
140,0.33,0.1446,0.036,1.0314271337188043,0.010618758041528224,power_endpoint,H1,beta
150,0.33,0.1406,0.0358,1.0291315245110235,0.00980599016256392,power_endpoint,H1,beta
160,0.33,0.138,0.0348,1.0270042151289949,0.009190197958071248,power_endpoint,H1,beta
170,0.33,0.1354,0.0346,1.025252994945132,0.008592887522521558,power_endpoint,H1,beta
180,0.33,0.1364,0.0348,1.0241429685248324,0.008099010679130315,power_endpoint,H1,beta
190,0.33,0.1284,0.0344,1.0219074478312675,0.0075640894752824735,power_endpoint,H1,beta
200,0.33,0.1272,0.0344,1.0207216090438778,0.00707276790832269,power_endpoint,H1,beta
210,0.33,0.13,0.0348,1.0191049483075323,0.006745163483052789,power_endpoint,H1,beta
220,0.33,0.1236,0.034,1.0175945756132398,0.006337637374447986,power_endpoint,H1,beta
230,0.33,0.1204,0.0342,1.016069796357518,0.0060205058163093,power_endpoint,H1,beta
240,0.33,0.1218,0.0346,1.0146848689999446,0.005697396352142786,power_endpoint,H1,beta
250,0.33,0.115,0.0328,1.0132954074198204,0.005443262086874615,power_endpoint,H1,beta
260,0.33,0.1088,0.032,1.0122141011115091,0.0051716231607674325,power_endpoint,H1,beta
270,0.33,0.1048,0.03,1.0107198033181548,0.004956093342343387,power_endpoint,H1,beta
280,0.33,0.1012,0.0314,1.0093801749112075,0.004684842444631062,power_endpoint,H1,beta
290,0.33,0.099,0.0292,1.0084095593672733,0.004519274526781305,power_endpoint,H1,beta
300,0.33,0.0934,0.0272,1.007645470407963,0.004389780928217894,power_endpoint,H1,beta
310,0.33,0.0868,0.0274,1.0062909849405401,0.004161044464447757,power_endpoint,H1,beta
320,0.33,0.0822,0.0256,1.0050834490646419,0.003986134573522912,power_endpoint,H1,beta
330,0.33,0.078,0.0242,1.004429623107514,0.0038240110262693053,power_endpoint,H1,beta
340,0.33,0.0788,0.0242,1.0031237573042666,0.003704796188430165,power_endpoint,H1,beta
350,0.33,0.0752,0.0238,1.002275682608559,0.003624367262728306,power_endpoint,H1,beta
360,0.33,0.0752,0.023,1.0018482318347333,0.0035188208971756846,power_endpoint,H1,beta
370,0.33,0.0768,0.0228,1.0010514802877866,0.003399167906676694,power_endpoint,H1,beta
380,0.33,0.0728,0.0224,0.9999379886846333,0.0032716349950718177,power_endpoint,H1,beta
390,0.33,0.0724,0.0234,0.9990300753759034,0.003204545107007253,power_endpoint,H1,beta
400,0.33,0.0716,0.0218,0.9985802599606945,0.003131369985726891,power_endpoint,H1,beta
410,0.33,0.0688,0.0216,0.9974836755775932,0.0030518768210405453,power_endpoint,H1,beta
420,0.33,0.07,0.0224,0.9969482184525658,0.0029893365910874867,power_endpoint,H1,beta
430,0.33,0.0652,0.021,0.9964186441637622,0.002923929365686155,power_endpoint,H1,beta
440,0.33,0.066,0.022,0.9954860240770139,0.002821135965980385,power_endpoint,H1,beta
450,0.33,0.0622,0.0204,0.9948774997011177,0.0027531850409974715,power_endpoint,H1,beta
460,0.33,0.0618,0.0204,0.9943697765125681,0.0026710069860607167,power_endpoint,H1,beta
470,0.33,0.0612,0.0206,0.9937604634359734,0.0026144859540455836,power_endpoint,H1,beta
480,0.33,0.0602,0.0192,0.9929201806540312,0.0025669668881842344,power_endpoint,H1,beta
490,0.33,0.0592,0.0188,0.9922095607443823,0.0025069069632406675,power_endpoint,H1,beta
500,0.33,0.0578,0.0176,0.9916803481916717,0.00247750812430849,power_endpoint,H1,beta
10,0.3,0.3116,0.115,1.2714197778719767,0.2490109480028987,power_endpoint,H1,beta
20,0.3,0.35,0.1392,1.2165583950705625,0.10830480048184675,power_endpoint,H1,beta
30,0.3,0.3534,0.1498,1.1806744574474997,0.06930150800022283,power_endpoint,H1,beta
40,0.3,0.3612,0.1582,1.1550472668874217,0.04833598956075442,power_endpoint,H1,beta
50,0.3,0.3656,0.1644,1.1381548936962433,0.0387572115194178,power_endpoint,H1,beta
60,0.3,0.3652,0.1686,1.1264726422693154,0.0312651986267517,power_endpoint,H1,beta
70,0.3,0.3674,0.1746,1.1135246175158637,0.025657182212667145,power_endpoint,H1,beta
80,0.3,0.3638,0.176,1.1036433224696145,0.022038140004612256,power_endpoint,H1,beta
90,0.3,0.36,0.1732,1.0964407701180923,0.019606326057221596,power_endpoint,H1,beta
100,0.3,0.3566,0.1754,1.0880946618922638,0.017622410723234814,power_endpoint,H1,beta
110,0.3,0.351,0.1738,1.0801655067123739,0.015691366137362977,power_endpoint,H1,beta
120,0.3,0.3426,0.1736,1.0735249906562354,0.014023762663054377,power_endpoint,H1,beta
130,0.3,0.3266,0.172,1.0659181723066156,0.012213257108244835,power_endpoint,H1,beta
140,0.3,0.3142,0.171,1.0601779831577878,0.011270006655555467,power_endpoint,H1,beta
150,0.3,0.3056,0.174,1.0546205891078564,0.01027209393258132,power_endpoint,H1,beta
160,0.3,0.2994,0.1696,1.050422609608552,0.009640471838543743,power_endpoint,H1,beta
170,0.3,0.2962,0.1698,1.046075221226477,0.008864024003221437,power_endpoint,H1,beta
180,0.3,0.2874,0.1696,1.040709389821726,0.008086192112670488,power_endpoint,H1,beta
190,0.3,0.2822,0.1698,1.0363753584877364,0.00765097245216301,power_endpoint,H1,beta
200,0.3,0.2696,0.167,1.0332506423813042,0.007277859805789624,power_endpoint,H1,beta
210,0.3,0.2568,0.1638,1.0290360609242564,0.006810705014125272,power_endpoint,H1,beta
220,0.3,0.2532,0.1628,1.0251770414233055,0.00642911430361783,power_endpoint,H1,beta
230,0.3,0.2438,0.1592,1.022409445845026,0.006163651923546464,power_endpoint,H1,beta
240,0.3,0.2404,0.1562,1.0189680549885711,0.005928440143356529,power_endpoint,H1,beta
250,0.3,0.2302,0.154,1.0160261101841161,0.00562556363232967,power_endpoint,H1,beta
260,0.3,0.2234,0.1518,1.0130481319955598,0.005390098166345309,power_endpoint,H1,beta
270,0.3,0.2158,0.1502,1.01013143957841,0.0051475206325723175,power_endpoint,H1,beta
280,0.3,0.206,0.148,1.007224232657816,0.0048926160117780705,power_endpoint,H1,beta
290,0.3,0.1966,0.143,1.0045422459247118,0.0046441090135667966,power_endpoint,H1,beta
300,0.3,0.1924,0.1422,1.0016157160075514,0.0043913182383174335,power_endpoint,H1,beta
310,0.3,0.1844,0.1386,0.9992310716460856,0.004174509198087976,power_endpoint,H1,beta
320,0.3,0.1808,0.1372,0.9968444380551843,0.004019345701169417,power_endpoint,H1,beta
330,0.3,0.1768,0.136,0.9945504702726407,0.00391447354193356,power_endpoint,H1,beta
340,0.3,0.1736,0.136,0.9923576677070147,0.003772279357870388,power_endpoint,H1,beta
350,0.3,0.1708,0.135,0.9905314793282403,0.003710009910153372,power_endpoint,H1,beta
360,0.3,0.1602,0.1302,0.9880271640907732,0.0035091839685247607,power_endpoint,H1,beta
370,0.3,0.1538,0.1258,0.9856567434878685,0.003399059517278484,power_endpoint,H1,beta
380,0.3,0.1514,0.1248,0.9834028271944569,0.0032886622095113986,power_endpoint,H1,beta
390,0.3,0.1482,0.1234,0.9815362221473378,0.0031755944694261138,power_endpoint,H1,beta
400,0.3,0.144,0.1228,0.9796757460791808,0.003087844937161811,power_endpoint,H1,beta
410,0.3,0.1406,0.1182,0.9779672078947584,0.0030166507252227513,power_endpoint,H1,beta
420,0.3,0.1358,0.1164,0.9762193967224908,0.0029072965450888224,power_endpoint,H1,beta
430,0.3,0.1286,0.1122,0.9749615758272944,0.002841575099688132,power_endpoint,H1,beta
440,0.3,0.1286,0.1114,0.9731982753815024,0.002780383720328475,power_endpoint,H1,beta
450,0.3,0.1254,0.1096,0.9714612837152082,0.002710413637236995,power_endpoint,H1,beta
460,0.3,0.1232,0.108,0.9698669689074882,0.002651600312283539,power_endpoint,H1,beta
470,0.3,0.1194,0.1058,0.9682060619057393,0.0026089881808576978,power_endpoint,H1,beta
